,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4
0.0,111001.0,111009.0,111002.0,111014.0,111020.0
1.0,111003.0,111011.0,111016.0,111110.0,111022.0
2.0,111004.0,111012.0,111024.0,111158.0,111023.0
3.0,111005.0,111013.0,111025.0,111169.0,111040.0
4.0,111006.0,111019.0,111026.0,111170.0,111048.0
5.0,111007.0,111033.0,111027.0,111173.0,111060.0
6.0,111008.0,111042.0,111031.0,111185.0,111067.0
7.0,111010.0,111043.0,111032.0,111191.0,111073.0
8.0,111015.0,111050.0,111034.0,111202.0,111083.0
9.0,111017.0,111051.0,111035.0,111223.0,111123.0
10.0,111018.0,111052.0,111037.0,111224.0,111130.0
11.0,111021.0,111053.0,111039.0,111373.0,111138.0
12.0,111028.0,111054.0,111044.0,111416.0,111144.0
13.0,111029.0,111056.0,111045.0,111417.0,111149.0
14.0,111030.0,111058.0,111046.0,111431.0,111156.0
15.0,111036.0,111059.0,111061.0,111555.0,111175.0
16.0,111038.0,111070.0,111066.0,111569.0,111183.0
17.0,111041.0,111081.0,111068.0,111589.0,111189.0
18.0,111047.0,111098.0,111069.0,111631.0,111190.0
19.0,111049.0,111105.0,111071.0,111635.0,111194.0
20.0,111055.0,111111.0,111072.0,111667.0,111197.0
21.0,111057.0,111113.0,111074.0,111738.0,111198.0
22.0,111062.0,111114.0,111076.0,111750.0,111201.0
23.0,111063.0,111128.0,111078.0,111774.0,111203.0
24.0,111064.0,111132.0,111079.0,111873.0,111204.0
25.0,111065.0,111136.0,111080.0,111885.0,111206.0
26.0,111075.0,111139.0,111085.0,111887.0,111207.0
27.0,111077.0,111146.0,111086.0,111892.0,111213.0
28.0,111082.0,111154.0,111087.0,111895.0,111218.0
29.0,111084.0,111187.0,111094.0,111896.0,111220.0
30.0,111088.0,111196.0,111104.0,112009.0,111231.0
31.0,111089.0,111205.0,111112.0,112030.0,111279.0
32.0,111090.0,111215.0,111117.0,112031.0,111404.0
33.0,111091.0,111268.0,111118.0,112038.0,111412.0
34.0,111092.0,111272.0,111121.0,112044.0,111426.0
35.0,111093.0,111273.0,111124.0,112054.0,111428.0
36.0,111095.0,111277.0,111127.0,112055.0,111430.0
37.0,111096.0,111278.0,111133.0,112065.0,111438.0
38.0,111097.0,111393.0,111137.0,112067.0,111439.0
39.0,111099.0,111396.0,111141.0,112100.0,111440.0
40.0,111100.0,111401.0,111142.0,112114.0,111550.0
41.0,111101.0,111402.0,111147.0,112121.0,111560.0
42.0,111102.0,111403.0,111148.0,112153.0,111561.0
43.0,111103.0,111405.0,111150.0,112154.0,111567.0
44.0,111106.0,111408.0,111151.0,112162.0,111585.0
45.0,111107.0,111411.0,111152.0,112175.0,111587.0
46.0,111109.0,111414.0,111153.0,112176.0,111610.0
47.0,111115.0,111420.0,111157.0,112190.0,111670.0
48.0,111119.0,111436.0,111159.0,112192.0,111679.0
49.0,111120.0,111557.0,111160.0,112197.0,111680.0
50.0,111122.0,111598.0,111161.0,112198.0,111689.0
51.0,111125.0,111603.0,111163.0,112203.0,111696.0
52.0,111129.0,111618.0,111166.0,112207.0,111698.0
53.0,111131.0,111623.0,111167.0,112210.0,111699.0
54.0,111134.0,111626.0,111168.0,112217.0,111702.0
55.0,111135.0,111628.0,111171.0,112219.0,111710.0
56.0,111140.0,111632.0,111176.0,112221.0,111744.0
57.0,111143.0,111634.0,111177.0,112223.0,111749.0
58.0,111145.0,111637.0,111178.0,112227.0,111751.0
59.0,111155.0,111646.0,111179.0,112231.0,111773.0
60.0,111162.0,111653.0,111182.0,112232.0,111823.0
61.0,111164.0,111661.0,111184.0,112238.0,111832.0
62.0,111165.0,111721.0,111195.0,112240.0,111835.0
63.0,111172.0,111732.0,111199.0,112247.0,111839.0
64.0,111174.0,111733.0,111200.0,112254.0,111853.0
65.0,111180.0,111767.0,111210.0,112255.0,111855.0
66.0,111181.0,111886.0,111214.0,112264.0,111858.0
67.0,111186.0,112033.0,111222.0,112265.0,111866.0
68.0,111188.0,112048.0,111227.0,112266.0,111867.0
69.0,111192.0,112071.0,111242.0,115001.0,111874.0
70.0,111193.0,112072.0,111243.0,117130.0,111875.0
71.0,111211.0,112082.0,111244.0,0.0,111876.0
72.0,111212.0,112085.0,111246.0,0.0,111881.0
73.0,111216.0,112089.0,111258.0,0.0,112063.0
74.0,111217.0,112091.0,111269.0,0.0,112066.0
75.0,111219.0,112093.0,111274.0,0.0,112070.0
76.0,111221.0,112095.0,111275.0,0.0,112094.0
77.0,111225.0,112099.0,111330.0,0.0,112096.0
78.0,111226.0,112102.0,111406.0,0.0,112097.0
79.0,111228.0,112108.0,111409.0,0.0,112103.0
80.0,111229.0,112119.0,111410.0,0.0,112116.0
81.0,111230.0,112138.0,111423.0,0.0,112118.0
82.0,111245.0,112139.0,111425.0,0.0,112129.0
83.0,111262.0,112141.0,111427.0,0.0,112151.0
84.0,111265.0,112202.0,111429.0,0.0,112152.0
85.0,111267.0,112214.0,111433.0,0.0,112157.0
86.0,111270.0,112220.0,111547.0,0.0,112158.0
87.0,111271.0,112245.0,111553.0,0.0,112161.0
88.0,111276.0,112248.0,111558.0,0.0,112171.0
89.0,111285.0,112263.0,111562.0,0.0,112174.0
90.0,111300.0,117102.0,111563.0,0.0,112178.0
91.0,111301.0,0.0,111564.0,0.0,112179.0
92.0,111302.0,0.0,111570.0,0.0,112180.0
93.0,111305.0,0.0,111571.0,0.0,112181.0
94.0,111387.0,0.0,111580.0,0.0,112189.0
95.0,111388.0,0.0,111584.0,0.0,112205.0
96.0,111389.0,0.0,111586.0,0.0,112206.0
97.0,111390.0,0.0,111590.0,0.0,112211.0
98.0,111392.0,0.0,111593.0,0.0,112212.0
99.0,111394.0,0.0,111599.0,0.0,112215.0
100.0,111395.0,0.0,111600.0,0.0,112216.0
101.0,111397.0,0.0,111613.0,0.0,112218.0
102.0,111398.0,0.0,111624.0,0.0,112226.0
103.0,111399.0,0.0,111629.0,0.0,112228.0
104.0,111400.0,0.0,111644.0,0.0,112233.0
105.0,111407.0,0.0,111647.0,0.0,112239.0
106.0,111413.0,0.0,111648.0,0.0,112242.0
107.0,111415.0,0.0,111649.0,0.0,112243.0
108.0,111418.0,0.0,111654.0,0.0,112249.0
109.0,111419.0,0.0,111658.0,0.0,112253.0
110.0,111421.0,0.0,111662.0,0.0,112256.0
111.0,111422.0,0.0,111663.0,0.0,112259.0
112.0,111424.0,0.0,111664.0,0.0,117109.0
113.0,111432.0,0.0,111666.0,0.0,117116.0
114.0,111434.0,0.0,111668.0,0.0,113003.0
115.0,111435.0,0.0,111669.0,0.0,0.0
116.0,111437.0,0.0,111676.0,0.0,0.0
117.0,111546.0,0.0,111678.0,0.0,0.0
118.0,111549.0,0.0,111682.0,0.0,0.0
119.0,111551.0,0.0,111683.0,0.0,0.0
120.0,111559.0,0.0,111684.0,0.0,0.0
121.0,111565.0,0.0,111685.0,0.0,0.0
122.0,111574.0,0.0,111697.0,0.0,0.0
123.0,111576.0,0.0,111700.0,0.0,0.0
124.0,111577.0,0.0,111701.0,0.0,0.0
125.0,111578.0,0.0,111708.0,0.0,0.0
126.0,111579.0,0.0,111709.0,0.0,0.0
127.0,111582.0,0.0,111722.0,0.0,0.0
128.0,111583.0,0.0,111729.0,0.0,0.0
129.0,111604.0,0.0,111742.0,0.0,0.0
130.0,111609.0,0.0,111743.0,0.0,0.0
131.0,111617.0,0.0,111747.0,0.0,0.0
132.0,111627.0,0.0,111752.0,0.0,0.0
133.0,111633.0,0.0,111762.0,0.0,0.0
134.0,111638.0,0.0,111763.0,0.0,0.0
135.0,111639.0,0.0,111765.0,0.0,0.0
136.0,111642.0,0.0,111772.0,0.0,0.0
137.0,111643.0,0.0,111818.0,0.0,0.0
138.0,111645.0,0.0,111822.0,0.0,0.0
139.0,111650.0,0.0,111837.0,0.0,0.0
140.0,111651.0,0.0,111838.0,0.0,0.0
141.0,111652.0,0.0,111841.0,0.0,0.0
142.0,111655.0,0.0,111844.0,0.0,0.0
143.0,111656.0,0.0,111846.0,0.0,0.0
144.0,111657.0,0.0,111849.0,0.0,0.0
145.0,111673.0,0.0,111852.0,0.0,0.0
146.0,111674.0,0.0,111854.0,0.0,0.0
147.0,111681.0,0.0,111860.0,0.0,0.0
148.0,111686.0,0.0,111864.0,0.0,0.0
149.0,111687.0,0.0,111865.0,0.0,0.0
150.0,111690.0,0.0,111870.0,0.0,0.0
151.0,111719.0,0.0,111877.0,0.0,0.0
152.0,111720.0,0.0,111882.0,0.0,0.0
153.0,111726.0,0.0,111890.0,0.0,0.0
154.0,111735.0,0.0,111999.0,0.0,0.0
155.0,111736.0,0.0,112057.0,0.0,0.0
156.0,111745.0,0.0,112075.0,0.0,0.0
157.0,111746.0,0.0,112076.0,0.0,0.0
158.0,111758.0,0.0,112083.0,0.0,0.0
159.0,111759.0,0.0,112088.0,0.0,0.0
160.0,111806.0,0.0,112092.0,0.0,0.0
161.0,111809.0,0.0,112098.0,0.0,0.0
162.0,111819.0,0.0,112101.0,0.0,0.0
163.0,111821.0,0.0,112110.0,0.0,0.0
164.0,111833.0,0.0,112111.0,0.0,0.0
165.0,111836.0,0.0,112115.0,0.0,0.0
166.0,111842.0,0.0,112120.0,0.0,0.0
167.0,111843.0,0.0,112122.0,0.0,0.0
168.0,111845.0,0.0,112123.0,0.0,0.0
169.0,111848.0,0.0,112124.0,0.0,0.0
170.0,111851.0,0.0,112126.0,0.0,0.0
171.0,111856.0,0.0,112133.0,0.0,0.0
172.0,111859.0,0.0,112136.0,0.0,0.0
173.0,111861.0,0.0,112137.0,0.0,0.0
174.0,111862.0,0.0,112140.0,0.0,0.0
175.0,111883.0,0.0,112144.0,0.0,0.0
176.0,111884.0,0.0,112145.0,0.0,0.0
177.0,112037.0,0.0,112150.0,0.0,0.0
178.0,112059.0,0.0,112160.0,0.0,0.0
179.0,112062.0,0.0,112163.0,0.0,0.0
180.0,112069.0,0.0,112164.0,0.0,0.0
181.0,112073.0,0.0,112165.0,0.0,0.0
182.0,112074.0,0.0,112170.0,0.0,0.0
183.0,112077.0,0.0,112183.0,0.0,0.0
184.0,112078.0,0.0,112191.0,0.0,0.0
185.0,112079.0,0.0,112204.0,0.0,0.0
186.0,112080.0,0.0,112213.0,0.0,0.0
187.0,112081.0,0.0,112224.0,0.0,0.0
188.0,112084.0,0.0,112251.0,0.0,0.0
189.0,112086.0,0.0,117001.0,0.0,0.0
190.0,112087.0,0.0,117106.0,0.0,0.0
191.0,112090.0,0.0,117113.0,0.0,0.0
192.0,112104.0,0.0,117118.0,0.0,0.0
193.0,112105.0,0.0,0.0,0.0,0.0
194.0,112106.0,0.0,0.0,0.0,0.0
195.0,112109.0,0.0,0.0,0.0,0.0
196.0,112112.0,0.0,0.0,0.0,0.0
197.0,112113.0,0.0,0.0,0.0,0.0
198.0,112117.0,0.0,0.0,0.0,0.0
199.0,112127.0,0.0,0.0,0.0,0.0
200.0,112128.0,0.0,0.0,0.0,0.0
201.0,112130.0,0.0,0.0,0.0,0.0
202.0,112131.0,0.0,0.0,0.0,0.0
203.0,112132.0,0.0,0.0,0.0,0.0
204.0,112134.0,0.0,0.0,0.0,0.0
205.0,112135.0,0.0,0.0,0.0,0.0
206.0,112142.0,0.0,0.0,0.0,0.0
207.0,112143.0,0.0,0.0,0.0,0.0
208.0,112146.0,0.0,0.0,0.0,0.0
209.0,112147.0,0.0,0.0,0.0,0.0
210.0,112148.0,0.0,0.0,0.0,0.0
211.0,112149.0,0.0,0.0,0.0,0.0
212.0,112155.0,0.0,0.0,0.0,0.0
213.0,112156.0,0.0,0.0,0.0,0.0
214.0,112159.0,0.0,0.0,0.0,0.0
215.0,112166.0,0.0,0.0,0.0,0.0
216.0,112167.0,0.0,0.0,0.0,0.0
217.0,112168.0,0.0,0.0,0.0,0.0
218.0,112169.0,0.0,0.0,0.0,0.0
219.0,112173.0,0.0,0.0,0.0,0.0
220.0,112182.0,0.0,0.0,0.0,0.0
221.0,112184.0,0.0,0.0,0.0,0.0
222.0,112185.0,0.0,0.0,0.0,0.0
223.0,112186.0,0.0,0.0,0.0,0.0
224.0,112187.0,0.0,0.0,0.0,0.0
225.0,112188.0,0.0,0.0,0.0,0.0
226.0,112193.0,0.0,0.0,0.0,0.0
227.0,112194.0,0.0,0.0,0.0,0.0
228.0,112195.0,0.0,0.0,0.0,0.0
229.0,112199.0,0.0,0.0,0.0,0.0
230.0,112200.0,0.0,0.0,0.0,0.0
231.0,112201.0,0.0,0.0,0.0,0.0
232.0,112208.0,0.0,0.0,0.0,0.0
233.0,112209.0,0.0,0.0,0.0,0.0
234.0,112222.0,0.0,0.0,0.0,0.0
235.0,112225.0,0.0,0.0,0.0,0.0
236.0,112229.0,0.0,0.0,0.0,0.0
237.0,112230.0,0.0,0.0,0.0,0.0
238.0,112234.0,0.0,0.0,0.0,0.0
239.0,112235.0,0.0,0.0,0.0,0.0
240.0,112236.0,0.0,0.0,0.0,0.0
241.0,112237.0,0.0,0.0,0.0,0.0
242.0,112244.0,0.0,0.0,0.0,0.0
243.0,112246.0,0.0,0.0,0.0,0.0
244.0,112250.0,0.0,0.0,0.0,0.0
245.0,112252.0,0.0,0.0,0.0,0.0
246.0,112257.0,0.0,0.0,0.0,0.0
247.0,112258.0,0.0,0.0,0.0,0.0
248.0,112261.0,0.0,0.0,0.0,0.0
249.0,112262.0,0.0,0.0,0.0,0.0
250.0,117101.0,0.0,0.0,0.0,0.0
251.0,117103.0,0.0,0.0,0.0,0.0
252.0,117104.0,0.0,0.0,0.0,0.0
253.0,117105.0,0.0,0.0,0.0,0.0
254.0,117107.0,0.0,0.0,0.0,0.0
255.0,117108.0,0.0,0.0,0.0,0.0
256.0,117111.0,0.0,0.0,0.0,0.0
257.0,117112.0,0.0,0.0,0.0,0.0
258.0,117117.0,0.0,0.0,0.0,0.0
